"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"006","合計_被害率","37000","香川県","%","8.7"
"006","合計_被害率","38000","愛媛県","%","9.8"
"006","合計_被害率","39000","高知県","%","12.3"
"006","合計_被害率","40000","福岡県","%","10.8"
"006","合計_被害率","41000","佐賀県","%","15.8"
"006","合計_被害率","42000","長崎県","%","18.2"
"006","合計_被害率","43000","熊本県","%","13.4"
"006","合計_被害率","44000","大分県","%","13.9"
"006","合計_被害率","45000","宮崎県","%","15.9"
"006","合計_被害率","46000","鹿児島県","%","17.3"
"006","合計_被害率","47000","沖縄県","%","11.4"
"006","合計_被害率","N0013","関東農政局","%","11.0"
"006","合計_被害率","N0014","東海農政局","%","8.1"
"006","合計_被害率","N0015","中国四国農政局","%","10.6"
"007","気象被害_計_被害面積","N0001","全国","ha","3363000"
"007","気象被害_計_被害面積","N0002","北海道","ha","234400"
"007","気象被害_計_被害面積","N0003","都府県","ha","3129000"
"007","気象被害_計_被害面積","N0004","東北","ha","1075000"
"007","気象被害_計_被害面積","N0005","北陸","ha","551800"
"007","気象被害_計_被害面積","N0006","関東・東山","ha","533300"
"007","気象被害_計_被害面積","N0007","東海","ha","149300"
"007","気象被害_計_被害面積","N0008","近畿","ha","189500"
"007","気象被害_計_被害面積","N0009","中国","ha","223300"
"007","気象被害_計_被害面積","N0010","四国","ha","88500"
"007","気象被害_計_被害面積","N0011","九州","ha","318700"
"007","気象被害_計_被害面積","N0012","沖縄","ha","248"
"007","気象被害_計_被害面積","01000","北海道","ha","234400"
"007","気象被害_計_被害面積","02000","青森県","ha","81200"
"007","気象被害_計_被害面積","03000","岩手県","ha","138100"
"007","気象被害_計_被害面積","04000","宮城県","ha","170700"
"007","気象被害_計_被害面積","05000","秋田県","ha","331500"
"007","気象被害_計_被害面積","06000","山形県","ha","173400"
"007","気象被害_計_被害面積","07000","福島県","ha","179900"
"007","気象被害_計_被害面積","08000","茨城県","ha","124900"
"007","気象被害_計_被害面積","09000","栃木県","ha","156000"
"007","気象被害_計_被害面積","10000","群馬県","ha","22300"
"007","気象被害_計_被害面積","11000","埼玉県","ha","71200"
"007","気象被害_計_被害面積","12000","千葉県","ha","56100"
"007","気象被害_計_被害面積","13000","東京都","ha","179"
"007","気象被害_計_被害面積","14000","神奈川県","ha","4830"
"007","気象被害_計_被害面積","15000","新潟県","ha","384300"
"007","気象被害_計_被害面積","16000","富山県","ha","53200"
"007","気象被害_計_被害面積","17000","石川県","ha","32300"
"007","気象被害_計_被害面積","18000","福井県","ha","82000"
"007","気象被害_計_被害面積","19000","山梨県","ha","8090"
"007","気象被害_計_被害面積","20000","長野県","ha","89900"
"007","気象被害_計_被害面積","21000","岐阜県","ha","25900"
"007","気象被害_計_被害面積","22000","静岡県","ha","18300"
"007","気象被害_計_被害面積","23000","愛知県","ha","50900"
"007","気象被害_計_被害面積","24000","三重県","ha","54200"
"007","気象被害_計_被害面積","25000","滋賀県","ha","57900"
"007","気象被害_計_被害面積","26000","京都府","ha","30200"
"007","気象被害_計_被害面積","27000","大阪府","ha","11100"
"007","気象被害_計_被害面積","28000","兵庫県","ha","67100"
"007","気象被害_計_被害面積","29000","奈良県","ha","12900"
"007","気象被害_計_被害面積","30000","和歌山県","ha","10300"
"007","気象被害_計_被害面積","31000","鳥取県","ha","7890"
"007","気象被害_計_被害面積","32000","島根県","ha","56300"
"007","気象被害_計_被害面積","33000","岡山県","ha","61200"
"007","気象被害_計_被害面積","34000","広島県","ha","40100"
"007","気象被害_計_被害面積","35000","山口県","ha","57800"
"007","気象被害_計_被害面積","36000","徳島県","ha","24800"
"007","気象被害_計_被害面積","37000","香川県","ha","18400"
