"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","005","虫害_ウンカ","026","(都道府県)_神奈川","ha","0"
"001","被害面積","005","虫害_ウンカ","027","(都道府県)_新潟","ha","2050"
"001","被害面積","005","虫害_ウンカ","028","(都道府県)_富山","ha","670"
"001","被害面積","005","虫害_ウンカ","029","(都道府県)_石川","ha","230"
"001","被害面積","005","虫害_ウンカ","030","(都道府県)_福井","ha","520"
"001","被害面積","005","虫害_ウンカ","031","(都道府県)_山梨","ha","100"
"001","被害面積","005","虫害_ウンカ","032","(都道府県)_長野","ha","3600"
"001","被害面積","005","虫害_ウンカ","033","(都道府県)_岐阜","ha","1490"
"001","被害面積","005","虫害_ウンカ","034","(都道府県)_静岡","ha","1260"
"001","被害面積","005","虫害_ウンカ","035","(都道府県)_愛知","ha","1200"
"001","被害面積","005","虫害_ウンカ","036","(都道府県)_三重","ha","635"
"001","被害面積","005","虫害_ウンカ","037","(都道府県)_滋賀","ha","3720"
"001","被害面積","005","虫害_ウンカ","038","(都道府県)_京都","ha","29"
"001","被害面積","005","虫害_ウンカ","039","(都道府県)_大阪","ha","480"
"001","被害面積","005","虫害_ウンカ","040","(都道府県)_兵庫","ha","325"
"001","被害面積","005","虫害_ウンカ","041","(都道府県)_奈良","ha","130"
"001","被害面積","005","虫害_ウンカ","042","(都道府県)_和歌山","ha","430"
"001","被害面積","005","虫害_ウンカ","043","(都道府県)_鳥取","ha","48"
"001","被害面積","005","虫害_ウンカ","044","(都道府県)_島根","ha","120"
"001","被害面積","005","虫害_ウンカ","045","(都道府県)_岡山","ha","2720"
"001","被害面積","005","虫害_ウンカ","046","(都道府県)_広島","ha","328"
"001","被害面積","005","虫害_ウンカ","047","(都道府県)_山口","ha","230"
"001","被害面積","005","虫害_ウンカ","048","(都道府県)_徳島","ha","343"
"001","被害面積","005","虫害_ウンカ","049","(都道府県)_香川","ha","2000"
"001","被害面積","005","虫害_ウンカ","050","(都道府県)_愛媛","ha","448"
"001","被害面積","005","虫害_ウンカ","051","(都道府県)_高知","ha","391"
"001","被害面積","005","虫害_ウンカ","052","(都道府県)_福岡","ha","1120"
"001","被害面積","005","虫害_ウンカ","053","(都道府県)_佐賀","ha","474"
"001","被害面積","005","虫害_ウンカ","054","(都道府県)_長崎","ha","539"
"001","被害面積","005","虫害_ウンカ","055","(都道府県)_熊本","ha","1120"
"001","被害面積","005","虫害_ウンカ","056","(都道府県)_大分","ha","230"
"001","被害面積","005","虫害_ウンカ","057","(都道府県)_宮崎","ha","1930"
